City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,Bulolo,-7.2,146.65,83.03,66,87,2.71,PG,2022-07-18 01:30:56
269,Teguldet,57.3064,88.1667,52.32,97,100,10.18,RU,2022-07-18 01:30:57
270,Khatima,28.9167,79.9667,90.45,55,94,6.49,IN,2022-07-18 01:30:57
271,Longyearbyen,78.2186,15.6401,58.84,67,75,19.57,SJ,2022-07-18 01:30:57
272,Lata,40.1629,-8.3327,61.88,90,90,1.45,PT,2022-07-18 01:30:58
273,Aranda De Duero,41.6704,-3.6892,75.24,24,0,6.13,ES,2022-07-18 01:30:58
274,Turukhansk,65.8167,87.9833,61.56,55,91,7.16,RU,2022-07-18 01:30:59
275,Tlacotepec,20.0667,-97.8667,63.77,94,60,0.89,MX,2022-07-18 01:30:59
276,Wollongong,-34.4333,150.8833,58.06,46,1,13.76,AU,2022-07-18 01:30:29
277,Hasaki,35.7333,140.8333,91.29,77,96,1.92,JP,2022-07-18 04:54:58
278,Markova,48.6758,24.4138,58.73,52,35,3.49,UA,2022-07-18 04:54:58
279,Hobyo,5.3505,48.5268,78.53,70,89,26.42,SO,2022-07-18 04:54:59
280,Waw,7.7029,27.9953,70.27,97,100,1.03,SS,2022-07-18 04:54:59
281,Sawakin,19.1059,37.3321,89.78,43,98,4.14,SD,2022-07-18 04:54:59
282,Marsh Harbour,26.5412,-77.0636,82.29,82,55,15.97,BS,2022-07-18 04:55:00
283,Gazojak,41.1875,61.4036,97.77,14,0,16.42,TM,2022-07-18 04:55:00
284,Oktyabrskoye,43.0645,44.7417,77.14,54,5,6.71,RU,2022-07-18 04:55:00
285,Lasa,46.6166,10.7002,64.36,69,40,3.2,IT,2022-07-18 04:55:01
286,Salekhard,66.53,66.6019,71.29,45,73,6.08,RU,2022-07-18 04:55:02
287,Ucluelet,48.9329,-125.5528,58.08,89,5,5.35,CA,2022-07-18 04:55:02
288,Beira,-19.8436,34.8389,64.49,100,40,9.1,MZ,2022-07-18 04:55:02
289,Saldanha,-33.0117,17.9442,51.85,92,0,6.46,ZA,2022-07-18 04:55:03
290,Tuatapere,-46.1333,167.6833,52.47,92,100,7.11,NZ,2022-07-18 04:52:22
291,Olafsvik,64.8945,-23.7142,50.38,83,96,7.16,IS,2022-07-18 04:55:03
